"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Cairn University-Wisconsin Wilderness",,,,,,,,,22,20,22,21,23,21
"Augusta State University",,,,,,,,,18,18,17,17,17,16
"Ashford University",,,,,,,,,19,18,18,,,15
"West Virginia University Hospital Departments of Rad Tech and Nutrition",,,,,,,,19,19,20,20,22,21,21
"Virginia Intermont College",,,,,,,,18,18,18,11,18,18,18
"Macon State College",,,,,,,,,16,17,,,,16
"University of Maine at Machias",,,,,,,,18,15,17,17,16,15,18
"Polytechnic Institute of New York University",,,,,,,,28,27,26,,,,
"Pearl River Community College",,,,,,,,20,20,20,,,17,17
"Motlow State Community College",,,,,,,,17,17,17,16,17,16,16
"Mid-Continent University",,,,,,,,15,17,17,17,17,14,16
"Lexington College",,,,,,,,15,20,17,16,18,19,17
"Yeshiva Toras Chaim Talmudical Seminary",,,,,,,,,,,,,,
"World Mission University",,,,,,,,,,,,,,
"Wilkes-Barre Area Career and Technical Center Practical Nursing",,,,,,,,,,,,,,
"San Diego State University-Imperial Valley Campus",,,,,,,,16,16,17,14,16,19,17
"Unification Theological Seminary",,,,,,,,,,,,,,
"Pellissippi State Community College",,,,,,,,,18,17,20,20,17,17
"University of North Georgia",,,,,,,,,21,21,21,20,20,20
"Fortis Institute-Wayne",,,,,,,,,,,17,,,
"Dana College",,,,,,,,,,,20,19,20,20
"Columbia College",,,,,,,,,,,20,19,20,20
"College of Visual Arts",,,,,,,,,,,20,,18,19
"Bethany University",,,,,,,,,,,16,17,18,15
"Ashland University Dwight Schar College of Nursing",,,,,,,,,,,19,19,19,5
"Volunteer State Community College",,,,,,,,,,16,17,16,16,16
"Saint Pauls College",,,,,,,,,,12,13,13,13,13
"Texas A & M University-Galveston",,,,,,,,,22,21,21,20,20,21
"Research College of Nursing",,,,,,,,,,21,22,21,22,21
"Northeast State Community College",,,,,,,,,,16,18,17,16,16
"Montana State University Billings",,,,,,,,,,19,18,18,19,19
"Jefferson Regional Medical Center School of Nursing",,,,,,,,,,18,6,14,3,7
"Dyersburg State Community College",,,,,,,,,,17,15,17,15,16
"Corcoran College of Art and Design",,,,,,,,,,20,20,19,16,14
"Bainbridge State College",,,,,,,,,,16,,,,
"Washington Bible College-Capital Bible Seminary",,,,,,,,,15,,,16,,
"Washburn University",,,,,,,,,19,19,19,19,19,19
"Philander Smith College",,,,,,,,,,16,16,14,14,14
"Remington College-North Houston Campus",,,,,,,,,,,,,,
"Remington College-Nashville Campus",,,,,,,,,,,,,,
"Remington College-Mobile Campus",,,,,,,,,,,,,,
"ITT Technical Institute-Huntington",,,,,,,,,,,,,,
"ITT Technical Institute-Houston West",,,,,,,,,,,,,,
"ITT Technical Institute-Houston North",,,,,,,,,,,,,,
"ITT Technical Institute-Hilliard",,,,,,,,,,,,,,
"ITT Technical Institute-High Point",,,,,,,,,,,,,,
"ITT Technical Institute-Hialeah",,,,,,,,,,,,,,
"ITT Technical Institute-Henderson",,,,,,,,,,,,,,
"ITT Technical Institute-Harrisburg",,,,,,,,,,,,,,
"ITT Technical Institute-Hanover",,,,,,,,,,,,,,
"ITT Technical Institute-Greenville",,,,,,,,,,,,,,
"ITT Technical Institute-Greenfield",,,,,,,,,,,,,,
"ITT Technical Institute-Getzville",,,,,,,,,,,,,,
"ITT Technical Institute-Fort Wayne",,,,,,,,,,,,,,
"ITT Technical Institute-Fort Myers",,,,,,,,,,,,,,
"ITT Technical Institute-Fort Lauderdale",,,,,,,,,,,,,,
"ITT Technical Institute-Everett",,,,,,,,,,,,,,
"ITT Technical Institute-Eden Prairie",,,,,,,,,,,,,,
"ITT Technical Institute-Indianapolis",,,,,,,,,,,,,,
"ITT Technical Institute-Indianapolis East",,,,,,,,,,,,,,
"ITT Technical Institute-Jacksonville",,,,,,,,,,,,,,
"ITT Technical Institute-Johnson City",,,,,,,,,,,,,,
"ITT Technical Institute-Mobile",,,,,,,,,,,,,,
"ITT Technical Institute-Merrillville",,,,,,,,,,,,,,
"ITT Technical Institute-Maumee",,,,,,,,,,,,,,
"ITT Technical Institute-Marlton",,,,,,,,,,,,,,
"ITT Technical Institute-Madison",,,,,,,,,,,,,,
"ITT Technical Institute-Madison",,,,,,,,,,,,,,
"ITT Technical Institute-Madison",,,,,,,,,,,,,,
"ITT Technical Institute-Louisville",,,,,,,,,,,,,,
"ITT Technical Institute-Earth City",,,,,,,,,,,,,,
"ITT Technical Institute-Liverpool",,,,,,,,,,,,,,
"ITT Technical Institute-Lexington",,,,,,,,,,,,,,
"ITT Technical Institute-Levittown",,,,,,,,,,,,,,
"ITT Technical Institute-Lathrop",,,,,,,,,,,,,,
"ITT Technical Institute-Las Vegas",,,,,,,,,,,,,,
"ITT Technical Institute-Lake Mary",,,,,,,,,,,,,,
"ITT Technical Institute-Knoxville",,,,,,,,,,,,,,
"ITT Technical Institute-Kennesaw",,,,,,,,,,,,,,
"ITT Technical Institute-Kansas City",,,,,,,,,,,,,,
"ITT Technical Institute-Little Rock",,,,,,,,,,,,,,
"ITT Technical Institute-Durham",,,,,,,,,,,,,,
"ITT Technical Institute-Dunmore",,,,,,,,,,,,,,
"ITT Technical Institute-Duluth",,,,,,,,,,,,,,
"ITT Technical Institute-Arnold",,,,,,,,,,,,,,
"ITT Technical Institute-Arlington Heights",,,,,,,,,,,,,,
"ITT Technical Institute-Arlington",,,,,,,,,,,,,,
"ITT Technical Institute-Albuquerque",,,,,,,,,,,,,,
"ITT Technical Institute-Albany",,,,,,,,,,,,,,
"ITT Technical Institute-Akron",,,,,,,,,,,,,,
"InterCoast Colleges-Santa Ana",,,,,,,,,,,,,,
"Helene Fuld College of Nursing",,,,,,,,,,,,,,
"ITT Technical Institute-Atlanta",,,,,,,,,,,,,,
"Hawkeye Community College",,,,,,,,,,,,,,
"duCret School of Arts",,,,,,,,,,,,,,
"DeVry University-Wisconsin",,,,,,,,,,,,,,
"DeVry University-Washington",,,,,,,,,,,,,,
"DeVry University-Oregon",,,,,,,,,,,,,,
"DeVry University-Minnesota",,,,,,,,,,,,,,
"DeVry University-Michigan",,,,,,,,,,,,,,
"Dell'Arte International School of Physical Theatre",,,,,,,,,,,,,,
"Daniel Webster College",,,,,,,,16,17,15,18,18,19,19
"Eastern Virginia Career College",,,,,,,,,,,,,,
"ITT Technical Institute-Murray",,,,,,,,,,,,,,
"ITT Technical Institute-Aurora",,,,,,,,,,,,,,
"ITT Technical Institute-Baton Rouge",,,,,,,,,,,,,,
"ITT Technical Institute-Douglasville",,,,,,,,,,,,,,
"ITT Technical Institute-DeSoto",,,,,,,,,,,,,,
"ITT Technical Institute-Dearborn",,,,,,,,,,,,,,
"ITT Technical Institute-Dayton",,,,,,,,,,,,,,
"ITT Technical Institute-Corona",,,,,,,,,,,,,,
"ITT Technical Institute-Cordova",,,,,,,,,,,,,,
"ITT Technical Institute-Concord",,,,,,,,,,,,,,
"ITT Technical Institute-Columbus",,,,,,,,,,,,,,
"ITT Technical Institute-Austin",,,,,,,,,,,,,,
"ITT Technical Institute-Columbia",,,,,,,,,,,,,,
"ITT Technical Institute-Clive",,,,,,,,,,,,,,
"ITT Technical Institute-Chattanooga",,,,,,,,,,,,,,
"ITT Technical Institute-Charlotte North",,,,,,,,,,,,,,
"ITT Technical Institute-Chantilly",,,,,,,,,,,,,,
"ITT Technical Institute-Canton",,,,,,,,,,,,,,
"ITT Technical Institute-Brooklyn Center",,,,,,,,,,,,,,
"ITT Technical Institute-Boise",,,,,,,,,,,,,,
"ITT Technical Institute-Bessemer",,,,,,,,,,,,,,
"ITT Technical Institute-Clovis",,,,,,,,,,,,,,
"ITT Technical Institute-Myrtle Beach",,,,,,,,,,,,,,
"ITT Technical Institute-Nashville",,,,,,,,,,,,,,
"ITT Technical Institute-National City",,,,,,,,,,,,,,
"Northwest College of Art & Design",,,,,,,,,,,,,,
"New York College of Health Professions",,,,,,,,,,,,,,
"Modern Technology School",,,,,,,,,,,,,,
"Michigan Jewish Institute",,,,,,,,,,,,,,
"Miami Ad School-Atlanta",,,,,,,,,,,,,,
"Keser Torah-Mayan Hatalmud",,,,,,,,,,,,,,
"ITT Technical Institute-Youngstown",,,,,,,,,,,,,,
"ITT Technical Institute-Wyoming",,,,,,,,,,,,,,
"Northwood University-Texas",,,,,,,,17,17,16,17,18,18,19
"ITT Technical Institute-Wilmington",,,,,,,,,,,,,,
"ITT Technical Institute-Westminster",,,,,,,,,,,,,,
"ITT Technical Institute-West Palm Beach",,,,,,,,,,,,,,
"ITT Technical Institute-Webster",,,,,,,,,,,,,,
"ITT Technical Institute-Warrensville Heights",,,,,,,,,,,,,,
"ITT Technical Institute-Waco",,,,,,,,,,,,,,
"ITT Technical Institute-Tulsa",,,,,,,,,,,,,,
"ITT Technical Institute-Tucson",,,,,,,,,,,,,,
"ITT Technical Institute-Troy",,,,,,,,,,,,,,
"ITT Technical Institute-Wichita",,,,,,,,,,,,,,
"ITT Technical Institute-Torrance",,,,,,,,,,,,,,
"Oklahoma Panhandle State University",,,,,,16,17,16,16,16,17,16,16,16
"Piedmont International University",,,,,,15,14,15,16,,,,,
"Remington College-Memphis Campus",,,,,,,,,,,,,,
"Remington College-Little Rock Campus",,,,,,,,,,,,,,
"Remington College-Lafayette Campus",,,,,,,,,,,,,,
"Remington College-Houston Southeast Campus",,,,,,,,,,,,,,
"Remington College-Houston Campus",,,,,,,,,,,,,,
"Remington College-Honolulu Campus",,,,,,,,,,,,,,
"Remington College-Heathrow Campus",,,,,,,,,,,,,,
"Remington College-Fort Worth Campus",,,,,,,,,,,,,,
"Palmer College of Chiropractic",,,,,,,,,,,,,,
"Remington College-Dallas Campus",,,,,,,,,,,,,,
"Remington College-Cleveland Campus",,,,,,,,,,,,,,
"Remington College-Baton Rouge Campus",,,,,,,,,,,,,,
"Raritan Valley Community College",,,,,,,,,,,,,,
"Randolph Technical Center",,,,,,,,,,,,,,
"Rabbinical College of Ohr Shimon Yisroel",,,,,,,,,,,,,,
"Rabbinical College of Ch'san Sofer New York",,,,,,,,,,,,,,
"Pittsburgh Technical College",,,,,,,,,,,,,,
"Pittsburgh Career Institute",,,,,,,,,,,,,,
"Remington College-Columbia Campus",,,,,,,,,,,,,,
"Cuyahoga Valley Career Center",,,,,,,,,,,,,,
"ITT Technical Institute-Tempe",,,,,,,,,,,,,,
"ITT Technical Institute-Tampa",,,,,,,,,,,,,,
"ITT Technical Institute-Pittsburgh",,,,,,,,,,,,,,
"ITT Technical Institute-Phoenix West",,,,,,,,,,,,,,
"ITT Technical Institute-Phoenix",,,,,,,,,,,,,,
"ITT Technical Institute-Philadelphia",,,,,,,,,,,,,,
"ITT Technical Institute-Pensacola",,,,,,,,,,,,,,
"ITT Technical Institute-Oxnard",,,,,,,,,,,,,,
"ITT Technical Institute-Owings Mills",,,,,,,,,,,,,,
"ITT Technical Institute-Orland Park",,,,,,,,,,,,,,
"ITT Technical Institute-Plymouth Meeting",,,,,,,,,,,,,,
"ITT Technical Institute-Orange",,,,,,,,,,,,,,
"ITT Technical Institute-Oklahoma City",,,,,,,,,,,,,,
"ITT Technical Institute-Oakland",,,,,,,,,,,,,,
"ITT Technical Institute-Oak Brook",,,,,,,,,,,,,,
"ITT Technical Institute-Norwood",,,,,,,,,,,,,,
"ITT Technical Institute-Norwood",,,,,,,,,,,,,,
"ITT Technical Institute-North Charleston",,,,,,,,,,,,,,
"ITT Technical Institute-Norfolk",,,,,,,,,,,,,,
"ITT Technical Institute-Newburgh",,,,,,,,,,,,,,
"ITT Technical Institute-Omaha",,,,,,,,,,,,,,
"ITT Technical Institute-Tarentum",,,,,,,,,,,,,,
"ITT Technical Institute-Portland",,,,,,,,,,,,,,
"ITT Technical Institute-Richardson",,,,,,,,,,,,,,
"ITT Technical Institute-Tallahassee",,,,,,,,,,,,,,
"ITT Technical Institute-Sylmar",,,,,,,,,,,,,,
"ITT Technical Institute-Swartz Creek",,,,,,,,,,,,,,
"ITT Technical Institute-Strongsville",,,,,,,,,,,,,,
"ITT Technical Institute-Springfield",,,,,,,,,,,,,,
"ITT Technical Institute-Springfield",,,,,,,,,,,,,,
"ITT Technical Institute-Springfield",,,,,,,,,,,,,,
"ITT Technical Institute-Spokane Valley",,,,,,,,,,,,,,
"ITT Technical Institute-Rancho Cordova",,,,,,,,,,,,,,
"ITT Technical Institute-South Bend",,,,,,,,,,,,,,
"ITT Technical Institute-San Dimas",,,,,,,,,,,,,,
"ITT Technical Institute-San Bernardino",,,,,,,,,,,,,,
"ITT Technical Institute-San Antonio East",,,,,,,,,,,,,,
"ITT Technical Institute-San Antonio",,,,,,,,,,,,,,
"ITT Technical Institute-Salem",,,,,,,,,,,,,,
"ITT Technical Institute-Salem",,,,,,,,,,,,,,
"ITT Technical Institute-Saint Rose",,,,,,,,,,,,,,
"ITT Technical Institute-Richmond",,,,,,,,,,,,,,
"ITT Technical Institute-Seattle",,,,,,,,,,,,,,
"National Louis University",,,,,,,,,,15,,19,16,
"Stevenson University",,18,19,19,19,19,18,18,18,17,18,19,18,18
"National Conservatory of Dramatic Arts",,,,,,,,,,,,,,
"Warner University",,,16,16,17,17,17,17,16,16,16,14,14,15
"Walla Walla University",,,20,,20,20,20,20,21,19,20,20,20,18
"Urbana University",,,20,17,17,18,,,,,17,16,,
"University of Pittsburgh-Titusville",,,14,16,15,15,14,17,16,16,16,19,14,14
"University of New Hampshire at Manchester",,,22,,22,,,,,,,,,
"University of Minnesota-Crookston",,,19,19,20,19,19,19,20,19,19,19,18,18
"The University of Texas at El Paso",,,17,16,17,17,,17,17,16,15,16,16,
"The Master's University and Seminary",,,21,20,21,21,21,22,21,22,22,21,21,19
"The College of New Rochelle",,,17,18,19,20,18,22,18,20,,,,
"Southeast Missouri State University",,,20,20,20,20,20,20,20,20,20,20,19,19
"Saint Leo University",,,19,20,20,,,,,19,20,20,19,20
"Quinnipiac University",,,23,23,22,22,23,22,22,22,22,22,22,21
"Pennsylvania State University-World Campus",,,21,20,20,21,21,17,,,,,,
"Pennsylvania State University-Penn State York",,,21,23,17,21,18,21,21,19,18,19,18,14
"Pennsylvania State University-Penn State Wilkes-Barre",,,24,18,18,18,15,19,19,16,16,17,20,17
"Pennsylvania State University-Penn State Shenango",,,18,17,19,19,16,15,19,16,17,16,17,15
"Pennsylvania State University-Penn State Scranton",,,16,17,15,17,16,19,18,20,18,17,17,16
"Western New England University",,,22,21,22,22,22,22,22,22,21,20,18,18
"William Paterson University of New Jersey",,,16,18,,,,,,,,,,
"Academy of Interactive Entertainment",,,,,,,,,,,,,,
"Academy of Interactive Entertainment",,,,,,,,,,,,,,
"American Islamic College",,,,,,,,,,,,,,
"American Institute of Alternative Medicine",,,,,,,,,,,,,,
"American Conservatory Theater",,,,,,,,,,,,,,
"American College of Healthcare Sciences",,,,,,,,,,,,,,
"American Academy of Dramatic Arts-New York",,,,,,,,,,,,,,
"American Academy of Dramatic Arts-Los Angeles",,,,,,,,,,,,,,
"Alverno College",,,,,,16,17,17,17,17,17,17,17,17
"Alliant International University-San Diego",,,,,,,,,,,,,,
"Pennsylvania State University-Penn State New Kensington",,,18,18,18,19,19,16,19,17,19,19,22,18
"Allen College",,,,,,,,,,,21,21,20,20
"Albizu University-San Juan",,,,,,,,,,,,,,
"Albizu University-Miami",,,,,,,,,,,,,,
"Alaska Pacific University",,,,,,17,20,20,15,21,21,18,21,19
"Akron School of Practical Nursing",,,,,,,,,,,,,,
"Agnes Scott College",,,,,,,,,,,,22,22,24
"Advanced Technology Institute",,,,,,,,,,,,,,
"Advanced College-Stockton",,,,,,,,,,,,,,
"Adult and Community Education-Hudson",,,,,,,,,,,,,,
"Albright College",,,,,,,,20,20,19,,18,18,
"Pennsylvania State University-Penn State Mont Alto",,,22,20,20,17,20,20,17,16,17,18,15,14
"Pennsylvania State University-Penn State Lehigh Valley",,,19,21,22,19,19,19,18,19,18,18,18,20
"Pennsylvania State University-Penn State Hazleton",,,20,18,20,17,17,20,18,18,16,17,17,17
"Keene State College",,,18,18,18,19,,,18,19,,,,
"Indiana State University",,,16,17,16,16,16,16,16,17,17,17,17,16
"Hiwassee College",,,17,17,17,17,16,16,15,15,16,15,16,16
"Hebrew Theological College",,,20,17,20,19,19,18,19,20,17,,,
"Green Mountain College",,,17,,,,,,,,,,,17
"Franklin Pierce University",,,17,,17,19,17,16,16,18,18,19,,17
"Dominican College of Blauvelt",,,17,17,17,17,16,18,17,18,17,18,19,
"College for Creative Studies",,,21,21,20,20,18,18,19,19,18,18,18,18
"Lincoln Christian University",,,20,17,19,19,19,19,18,18,19,19,19,19
"Coe College",,,22,22,22,22,22,23,23,24,23,23,23,22
"Chestnut Hill College",,,16,20,17,17,19,19,19,18,19,17,,18
"Charles R Drew University of Medicine and Science",,,18,,,,,,,,,,,
"Campbellsville University",,,18,18,19,18,18,18,18,18,18,16,16,18
"Bryan College-Dayton",,,21,20,21,19,20,20,20,20,20,22,21,21
"Bennett College",,,14,14,,,,,,,,15,15,13
"Woodbury University",,17,19,19,19,16,,19,20,19,17,,,
"Wofford College",,26,27,29,24,23,24,24,23,24,23,23,23,23
"Wittenberg University",,20,,,,,,23,23,22,23,22,22,22
"Cincinnati Christian University",,,16,16,18,18,17,18,18,18,18,18,19,18
"American Jewish University",,,,,,,,,17,20,18,20,21,
"Lincoln College",,,15,15,15,15,22,16,15,15,15,14,15,15
"Medaille College",,,17,17,19,15,,,16,17,18,17,17,17
"Pennsylvania State University-Penn State Harrisburg",,,23,22,22,20,20,22,20,21,21,20,19,19
"Pennsylvania State University-Penn State Greater Allegheny",,,23,18,18,20,18,18,19,13,16,15,21,15
"Pennsylvania State University-Penn State Fayette- Eberly",,,17,17,17,17,19,18,16,18,20,16,16,21
"Pennsylvania State University-Penn State Erie-Behrend College",,,22,22,21,20,19,19,19,20,19,19,19,18
"Pennsylvania State University-Penn State DuBois",,,19,23,,21,16,20,14,17,18,15,17,14
"Pennsylvania State University-Penn State Brandywine",,,21,19,18,18,19,17,18,18,16,16,17,17
"Pennsylvania State University-Penn State Berks",,,21,21,19,18,18,19,18,17,17,17,18,19
"Pennsylvania State University-Penn State Beaver",,,20,20,20,18,17,16,17,17,18,17,17,15
"McDaniel College",,,21,21,21,20,21,21,21,20,22,21,21,20
"Pennsylvania State University-Penn State Altoona",,,20,21,20,20,19,19,21,20,20,19,18,18
"Olivet College",,,16,,18,17,18,17,18,18,17,17,17,16
"New York School of Interior Design",,,19,18,17,,,,20,,,,,
"Mount Aloysius College",,,17,18,18,17,16,18,17,16,17,16,16,17
"Moravian University",,,21,21,21,19,18,,,,20,19,19,19
"MidAmerica Nazarene University",,,18,18,18,19,19,19,20,19,20,20,20,18
"Mid-South Christian College",,,19,,,,,,,,,,,
"Menlo College",,,18,18,18,19,19,19,20,19,17,16,15,15
"Medical Prep Institute of Tampa Bay",,,12,,,,,,,,,,,
"Pennsylvania State University-Penn State Abington",,,22,21,20,19,18,18,16,19,17,17,17,14
"Wingate University",,18,18,18,20,20,19,19,20,19,19,19,18,
"American Musical and Dramatic Academy",,,,,,,,,,,,,,
"AmeriTech College-Draper",,,,,,,,,,,,,,
"California College of the Arts",,,,,,,,,19,,,,,
"California Christian College",,,,,,,,,,,,,,18
"California Career Institute",,,,,,,,,,,,,,
"Bryn Mawr College",,,,29,28,28,27,27,26,26,26,27,26,27
"Brown College of Court Reporting",,,,,,,,,,,,,,
"Broome Delaware Tioga BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Brevard College",,,,,,,,18,17,18,16,15,18,17
"Bradford School",,,,,,,,,,,,,,
"Bowdoin College",,,,,,,,30,31,30,30,29,29,
"Bolivar Technical College",,,,,,,,,,,,,,
"Bob Jones University",,,,20,20,19,19,20,19,,,,,
"Blue Hills Regional Technical School",,,,,,,,,,,,,,
"Blue Cliff Career College",,,,,,,,,,,,,,
"Birthwise Midwifery School",,,,,,,,,,,,,,
"Bidwell Training Center Inc",,,,,,,,,,,,,,
"Beverly Hills Design Institute",,,,,,,,,,,,,,
"Bethany Global University",,,,,,,,,,,,,,
"California Institute of the Arts",,,,,,,,,,,,,,
"California Jazz Conservatory",,,,,,,,,,,,,,
"California State University Maritime Academy",,,,,,,,21,21,19,20,19,19,19
"California State University-Bakersfield",,,,,,,,15,16,16,15,15,15,16
"Carrington College-Reno",,,,,,,,,,,,,,
"Carrington College-Portland",,,,,,,,,,,,,,
"Carrington College-Pleasant Hill Campus",,,,,,,,,,,,,,
"Carrington College-Phoenix North",,,,,,,,,,,,,,
"Carrington College-Phoenix East",,,,,,,,,,,,,,
"Carrington College-Ontario",,,,,,,,,,,,,,
"Carrington College-Mesquite",,,,,,,,,,,,,,
"Carrington College-Mesa",,,,,,,,,,,,,,
"Beth Medrash of Asbury Park",,,,,,,,,,,,,,
"Carrington College-Las Vegas",,,,,,,,,,,,,,
"Carrington College-Boise",,,,,,,,,,,,,,
"Carrington College-Albuquerque",,,,,,,,,,,,,,
"Career Center of Southern Illinois",,,,,,,,,,,,,,
"Canton City Schools Adult Career and Technical Education",,,,,,,,,,,,,,
"California State University-Stanislaus",,,,,,,,16,16,17,17,17,17,16
"California State University-East Bay",,,,,,,,16,16,16,15,16,15,16
"California State University-Dominguez Hills",,,,,,,,15,15,15,14,14,14,15
"California State University-Channel Islands",,,,,,,,17,18,16,18,,18,18
"Carrington College-Citrus Heights",,,,,,,,,,,,,,
"Beth Medrash Meor Yitzchok",,,,,,,,,,,,,,
"Beth Hatalmud Rabbinical College",,,,,,,,,,,,,,
"Beth Hamedrash Shaarei Yosher Institute",,,,,,,,,,,,,,
"Autry Technology Center",,,,,,,,,,,,,,
"Augustana College",,,,,,,,,,,23,23,23,23
"Athena Career Academy",,,,,,,,,,,,,,
"Assumption University",,,,,,,,,,,20,19,,20
"Associated Beth Rivkah Schools",,,,,,,,,,,,,,
"Assabet Valley Regional Technical School",,,,,,,,,,,,,,
"ASPIRA City College",,,,,,,,,,,,,,
"Art Center College of Design",,,,,,,,,,,,,,
"Averett University-Non-Traditional Programs",,,,,,,,,,,,,,
"Arnot Ogden Medical Center",,,,,,,,,,,,,,
"Arkansas Tech University",,,,,,,18,18,18,19,20,19,19,19
"Arizona State University Digital Immersion",,,,,,,,17,,,,,,
"Arizona College of Nursing-Las Vegas",,,,,,,,,,,,,,
"Aria Health School of Nursing",,,,,,,,,,,,,,
"Applied Technology Services",,,,,,,,,,,,,,
"Annenberg School of Nursing",,,,,,,,,,,,,,
"Anna Maria College",,,,,,,,,16,16,18,16,16,15
"AmeriTech College-Provo",,,,,,,,,,,,,,
"Armstrong State University",,,,19,19,19,19,19,19,19,18,18,19,18
"American University of Health Sciences",,,,,,,,,,,,,,
"B M Spurr School of Practical Nursing",,,,,,,,,,,,,,
"Bais HaMedrash and Mesivta of Baltimore",,,,,,,,,,,,,,
"Bet Medrash Gadol Ateret Torah",,,,,,,,,,,,,,
"Berklee College of Music",,,,,,,,,,,,,,
"Bennington College",,,,,,,,,,,,,24,24
"Belanger School of Nursing",,,,,,,,,,,,,,
"Bel-Rea Institute of Animal Technology",,,,,,,,,,,,,,
"Beis Medrash Heichal Dovid",,,,,,,,,,,,,,
"Beacon College",,,,,,,,,,,,,,
"Bay State College",,,,,,,,,,,,,,
"Bais Binyomin Academy",,,,,,,,,,,,,,
"Bates College",,,,,,,,,,,,,,
"Bard College",,,,,,,,,,,,,,
"Barclay College",,,,,,,,17,15,17,18,17,15,19
"Baptist Missionary Association Theological Seminary",,,,,,,,,,,,,,
"Bancroft School of Massage Therapy",,,,,,,,,,,,,,
"Ball State University",,,,20,20,20,20,20,19,20,19,19,19,19
"Bais Medrash Toras Chesed",,,,,,,,,,,,,,
"Bais Medrash Mayan Hatorah",,,,,,,,,,,,,,
"Bais Medrash Elyon",,,,,,,,,,,,,,
"Bard College at Simon's Rock",,,,,,,,,,,,,24,26
"Williams College",,32,32,31,31,31,31,30,30,29,30,29,29,29
"William Woods University",,20,20,20,19,19,19,19,20,20,19,19,19,19
"William Penn University",,16,,16,17,,,17,15,16,17,17,17,17
"Hendrix College",,26,27,24,26,25,25,26,26,27,27,25,25,24
"Haskell Indian Nations University",,15,15,16,16,16,16,,,16,15,14,15,14
"Grand Valley State University",,21,21,21,21,21,21,21,21,21,22,21,22,22
"Goucher College",,21,,,,,,,,23,23,,23,23
"Georgia Gwinnett College",,16,,,,,,,,,,,,
"Georgetown College",,21,20,20,20,20,21,21,21,21,21,21,21,21
"Geneva College",,19,20,20,20,21,18,20,20,21,19,20,20,20
"Fort Valley State University",,16,16,5,10,16,17,,16,15,16,15,15,15
"Fitchburg State University",,19,19,19,18,18,18,18,19,20,18,17,18,18
"Finlandia University",,16,17,17,16,16,16,17,,,,,,
"Emporia State University",,19,19,19,19,19,19,19,20,19,19,19,19,19
"Emmanuel College",,16,17,17,18,,,,,,,,,
"Edgewood College",,20,20,21,21,20,20,20,20,20,20,20,19,19
"Eckerd College",,23,23,23,22,23,23,23,22,22,22,22,22,22
"Eastern Oregon University",,17,18,18,17,18,18,,19,,19,18,18,
"East Texas Baptist University",,17,18,18,18,18,18,18,18,18,19,18,18,18
"Dean College",,17,18,18,,,15,15,15,15,14,15,15,15
"Heritage Christian University",,1,,19,,14,,,,,,,,
"Hofstra University",,25,24,24,24,,23,23,23,24,23,23,22,21
"Holy Family College",,15,15,,,,14,17,15,16,16,16,16,16
"Holy Names University",,18,17,17,16,15,16,17,17,17,16,17,20,18
"Lynn University",,21,20,,19,19,19,18,,,17,,16,16
"Louisburg College",,13,14,13,14,14,,,,14,13,,14,13
"Loras College",,20,19,20,20,21,21,21,21,21,21,21,20,20
"Logan University",,21,,18,,,,,,,,,,
"Lock Haven University",,17,19,16,17,17,17,17,17,16,17,16,17,16
"LIM College",,18,18,18,18,18,16,18,19,19,19,19,17,17
"Lesley University",,20,22,20,21,21,21,21,20,21,20,19,20,20
"Lenoir-Rhyne University",,18,,,,,,18,18,18,,18,19,17
"Davis & Elkins College",,18,16,17,17,17,18,17,17,17,17,18,17,17
"Le Moyne-Owen College",,14,14,14,14,14,13,14,14,14,15,14,12,12
"Lakeland University",,17,16,16,16,16,18,19,19,19,18,18,17,17
"Kuyper College",,20,17,19,19,19,19,18,19,20,18,20,19,
"Kansas Wesleyan University",,19,20,19,19,20,20,20,20,20,20,20,20,19
"Kalamazoo College",,25,,26,,,25,25,26,25,26,26,26,26
"Indiana University-Kokomo",,18,19,17,18,18,17,18,18,18,17,18,16,17
"Indiana Institute of Technology",,18,18,17,17,18,18,17,16,17,17,17,13,17
"Howard Payne University",,19,18,19,18,18,19,18,18,18,18,17,18,18
"Houghton College",,21,,22,21,21,22,21,22,22,22,23,21,23
"Lawrence Technological University",,21,23,21,22,22,21,22,21,20,20,20,20,20
"Dallas Christian College",,15,17,17,15,15,16,18,17,21,17,17,19,17
"Curry College",,19,17,18,18,18,18,16,,19,18,,,
"Cumberland University",,18,19,19,19,19,20,19,19,20,20,19,19,18
"Bethlehem College & Seminary",,21,21,20,21,22,,,,,,,,
"Bethel University",,19,19,19,20,19,19,20,20,19,,,,
"Bethany Lutheran College",,20,19,20,20,20,20,20,20,21,19,20,20,20
"Berry College",,24,23,24,24,24,24,24,24,23,22,23,23,23
"Benedict College",,15,,,,,,,,,,,,
"Beloit College",,24,21,,24,,,24,24,25,25,25,25,25
"Baylor University",,26,26,26,26,25,24,24,24,24,23,23,23,23
"Barry University",,17,17,17,18,17,18,17,,17,,17,18,18
"Bloomsburg University of Pennsylvania",,18,19,19,18,18,17,19,19,19,,,,
"Azusa Pacific University",,20,21,21,20,21,21,21,21,21,21,21,21,20
